,title,address.street-address,name,address,distance
15,Casa de las Flores,CALLE RODRIGUEZ SAN PEDRO 72,111a - Arcipreste de Hita A,Calle Arcipreste de Hita nº 12,221.6149733226674
16,Casa del cura de la iglesia de San José,Calle ALCALÁ ,20a - Banco de España A,Calle Alcalá nº 49,159.1732459833146
17,"Casa Sindical (actual sede del Ministerio de Sanidad, Servicios Sociales e Igualdad)",PASEO PRADO 18,27 - Huertas,Calle Jesús nº 1,184.197901302685
18,Casino de Madrid,CALLE ALCALA 15,1b - Puerta del Sol B,Puerta del Sol nº 1,156.30585410310508
19,Casita Del Príncipe (El Pardo),CALLE ADELINA PATTI 1,261 - Facultad Derecho,Avenida Complutense nº 23,9822.12351412662
20,Cementerio de la Almudena,AVENIDA DAROCA 94,234 - Marqués de Corbera 52,Avenida Marqués de Corbera nº 52,546.2427133865798
21,"Central Eléctrica del Pacífico, talleres y oficinas del Metro",CALLE VALDERRIBAS 49,84 - Valderribas,Calle Doctor Esquerdo nº 191,224.56160116201164
22,Centro Cultural Daoíz y Velarde,PLAZA DAOIZ Y VELARDE 4,178 - Junta Municipal Retiro,Calle León Gil de Palacio nº 3,221.65499969717465
23,Centro Cultural La Corrala (sede del Museo de Artes y Tradiciones Populares),CALLE CARLOS ARNICHES 3,39 - Plaza de la Cebada,Plaza de la Cebada nº 16 ,278.28019680110634
24,Centro del Ejército y la Armada (Casino Militar),Calle CABALLERO DE GRACIA 9,18 - Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1,143.34058102699748
25,Cine Avenida,Calle ABADA 11,2 - Miguel Moya,Calle Miguel Moya nº 1,112.94205936084371
26,Cine Callao,Plaza CALLAO 2,22 - Jacometrezo,Calle Jacometrezo nº 3,32.10284447466853
27,Cine Gran Vía y Hotel Vincci,Calle GARCIA MOLINAS ,16 - San Bernardo,Calle San Bernardo nº 22,148.29674743077223
28,Círculo de Bellas Artes,Calle ALCALÁ 42,20a - Banco de España A,Calle Alcalá nº 49,166.20301991743005
29,Círculo de la Unión Mercantil e Industrial,Calle GRAN VIA 24,18 - Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1,137.93709736504795
30,Ciudad Universitaria de Madrid,CIUDAD UNIVERSITARIA ,261 - Facultad Derecho,Avenida Complutense nº 23,901.9233386356733
31,Colegio de Nuestra Señora de Loreto. Madres Ursulinas,CALLE PRINCIPE DE VERGARA 42,186 - General Pardiñas,Calle General Pardiñas nº 56,192.73899297034112
32,Colegio Mayor Casa do Brasil,AVENIDA ARCO DE LA VICTORIA 3,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,524.0355939620541
33,Colegio Nuestra Señora del Pilar,CALLE CASTELLO 56,109 - Marqués de Salamanca,Calle José Ortega y Gasset nº 30,203.6897252616979
34,Colegio Oficial de Arquitectos de Madrid,CALLE HORTALEZA 63,6 - Colegio Arquitectos,Calle Hortaleza nº 63,8.886767750006207
35,Complejo El Águila,CALLE RAMIREZ DE PRADO 3,118 - Juan Martín,Calle Juan Martín el Empecinado nº 16,222.51537169573425
36,Congreso de los Diputados,Plaza CORTES 1,29 - Marqués de Cubas,Calle del Marqués de Cubas nº 25,95.35931472616079
37,Convento de las Comendadoras y parroquia de Santiago el Mayor,PLAZA COMENDADORAS 10,13 - Conde Duque,Calle Conde Duque nº 22,167.9186961412424
38,Cuartel del Conde Duque,Calle CONDE DUQUE 9,13 - Conde Duque,Calle Conde Duque nº 22,72.05019946093547
39,Edificio Bankinter,PASEO CASTELLANA 29,103 - Ortega y Gasset,Calle José Ortega y Gasset nº 4,334.51047969718695
40,Edificio Bankunión (Parlamento Europeo y Embajada de Irlanda),PASEO CASTELLANA 46,142 - Castellana 42,Paseo de la Castellana nº 42,88.82313236665124
41,Edificio Carrión (Capitol),Calle GRAN VIA 41,22 - Jacometrezo,Calle Jacometrezo nº 3,42.438804321375436
42,Edificio Coliseum (Teatro Coliseum),CALLE GRAN VIA 78,116b - Plaza de España B,Calle Princesa nº 5,57.70559653367667
43,Edificio de 20 viviendas en calle Cervantes,CALLE CERVANTES 36,27 - Huertas,Calle Jesús nº 1,121.54162736539861
44,Edificio de La Unión y el Fénix,Calle GARCIA MOLINAS ,16 - San Bernardo,Calle San Bernardo nº 22,187.76215704288452
45,Edificio de Los Previsores del Porvenir,Calle CABALLERO DE GRACIA 19,28 - Sevilla,Calle Alcalá nº 27,112.74253710190408
46,Edificio de Oficinas y Apartamentos,Calle GRAN VIA 43,22 - Jacometrezo,Calle Jacometrezo nº 3,76.5101626804029
47,Edificio de Viviendas en la calle Hilarión Eslava,CALLE HILARION ESLAVA 10,111a - Arcipreste de Hita A,Calle Arcipreste de Hita nº 12,126.66337928895351
48,Edificio Girasol,CALLE LAGASCA 90,88 - Embajada de Italia,Calle Velázquez nº 75,102.68544200751155
49,Edificio Gran Peña,Calle GRAN VIA 2,28 - Sevilla,Calle Alcalá nº 27,183.95190934619745
50,Edificio Hostal Lauria,Calle GRAN VIA 50,2 - Miguel Moya,Calle Miguel Moya nº 1,84.96889595061218
51,Edificio La Adriática,Plaza CALLAO ,2 - Miguel Moya,Calle Miguel Moya nº 1,85.17739531128086
52,Edificio Los Sótanos,Calle GRAN VIA 59,23 - Santo Domingo,Plaza de Santo Domingo nº 1,220.17414794627405
53,Edificio Los Sótanos,Calle GRAN VIA 59,23 - Santo Domingo,Plaza de Santo Domingo nº 1,190.50107648949353
54,Edificio Los Sótanos,Calle GRAN VIA 57,23 - Santo Domingo,Plaza de Santo Domingo nº 1,220.17414794627405
55,Edificio Los Sótanos,Calle GRAN VIA 57,23 - Santo Domingo,Plaza de Santo Domingo nº 1,190.50107648949353
56,Edificio Los Sótanos y Teatro Lope de Vega,Calle GRAN VIA 55,23 - Santo Domingo,Plaza de Santo Domingo nº 1,156.0545069877569
57,Edificio Matesanz,Calle GRAN VIA 27,210 - Tres Cruces,Calle Tres Cruces nº 7,23.260042779380388
58,Edificio Metrópolis,CALLE ALCALA 39,28 - Sevilla,Calle Alcalá nº 27,125.91382727987184
59,Edificio para el Banco Urquijo,Calle GRAN VIA 4,28 - Sevilla,Calle Alcalá nº 27,172.54642071643806
60,Edificio Rialto,Calle GRAN VIA 54,22 - Jacometrezo,Calle Jacometrezo nº 3,162.00246374670118
61,Edificio Telefónica,CALLE GRAN VIA 28,211 - Desengaño,Calle Desengaño nº 1,56.82035893278959
62,Edificio Vita,Calle GRAN VIA 62,16 - San Bernardo,Calle San Bernardo nº 22,136.65780470610656
